"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
6	1122	122	0.000605102014592537	259
7	1122	93	0.00225567776871588	921
8	1122	110	0.001131432965343	412
11	1122	81	0.00258233174992827	729
12	1122	73	0.00312944657959052	662
13	1122	38	0.00655824301759758	1465
5	1211	92	0.00166472448809722	600
6	1211	42	0.00776119263504405	3322
7	1211	41	0.00707562765887099	2889
8	1211	30	0.0089553468446202	3261
9	1211	61	0.00492257929626487	1601
10	1211	70	0.00364576785618074	1218
6	1212	112	0.00117048690853614	501
8	1212	33	0.00786785302356237	2865
9	1212	110	0.00124217491298626	404
10	1212	105	0.00133797884377077	447
11	1212	65	0.00380442290730173	1074
12	1212	72	0.00345090030679922	730
5	1314	114	0.00094611841740192	341
6	1314	108	0.00174988960976761	749
7	1314	92	0.00225567776871588	921
8	1314	98	0.00154885483605207	564
9	1314	101	0.00144510447797907	470
10	1314	41	0.00663302263489042	2216
11	1314	56	0.00496629508010896	1402
12	1314	59	0.00435380709940011	921
5	1411	45	0.00743299483935409	2679
6	1411	62	0.00531041266088354	2273
7	1411	54	0.00590492844774591	2411
8	1411	24	0.0111028725215576	4043
9	1411	55	0.00516855452655918	1681
10	1411	73	0.00332848428249014	1112
11	1411	14	0.0202335788142528	5712
12	1411	27	0.009203976571696	1947
5	1412	85	0.00228899617113368	825
6	1412	87	0.0027381450235616	1172
7	1412	46	0.00632618423082858	2583
8	1412	38	0.00732959850606909	2669
9	1412	107	0.00133134093396795	433
12	1412	54	0.00455235204855842	963
6	1511	69	0.00435953806652384	1866
7	1511	23	0.0121698836403357	4969
8	1511	39	0.00704674026473334	2566
9	1511	56	0.00515318107466578	1676
10	1511	72	0.00356495034212748	1191
11	1511	64	0.00383630354618973	1083
12	1511	86	0.00202799483783132	429
13	1511	63	0.00352309710228621	787
5	1524	115	0.000516064591310138	186
6	1524	106	0.00185969576685583	796
7	1524	112	0.00122702992630473	501
8	1524	119	0.000983138353380568	358
10	1524	108	0.00124219512341134	415
11	1524	92	0.00153735525304372	434
4	1711	58	0.00388192537672156	1066
6	1711	57	0.00564917633700678	2418
7	1711	110	0.00134458967972315	549
8	1711	117	0.00103256989070138	376
9	1711	48	0.00616782889962981	2006
10	1711	110	0.00121824919332148	407
12	1711	71	0.00345090030679922	730
5	2121	113	0.00100715831529882	363
6	2121	16	0.0169311749025178	7247
7	2121	19	0.0130393359833261	5324
8	2121	29	0.00960070302630856	3496
9	2121	13	0.0190261840632648	6188
10	2121	11	0.0230449644702262	7699
11	2121	63	0.00393548775606352	1111
12	2121	24	0.0104850642198365	2218
13	2121	20	0.0102022087625289	2279
5	2135	15	0.0151795127906332	5471
6	2135	9	0.0239727867634518	10261
7	2135	26	0.0112857363281681	4608
8	2135	15	0.0174905256220135	6369
9	2135	42	0.00679814042725897	2211
10	2135	29	0.00980885161305772	3277
11	2135	38	0.00795599054916172	2246
12	2135	49	0.00550253144810177	1164
13	2135	27	0.00894427955574059	1998
